Time,Symbol,Price,Quantity,Type,Status,Value,maxPerf,maxLoss,maxDd,curPerf,pastPerfAvg,successRatio
2015-03-27T15:00:00Z,JD,29.99,332,Market,Filled,9956.68,0,0,0,0,0,1 
2015-03-27T16:00:00Z,BABA,83.86,-118,Market,Filled,-9895.48,0.0072360616844602609727164887,-0.0052194543297746144721233689,0.0124555160142348754448398576,-0.0052194543297746144721233689,0.0058482326960776287969778247, 0.9 
2015-03-27T16:00:00Z,NETE,125,-83,Market,Filled,-10375,0.1428571428571428571428571429,   0,0.0924369747899159663865546219,0.050420168067226890756302521,0.0050420168067226890756302521, 0.1 
2015-03-27T16:00:00Z,STMP,66.56,-146,Market,Filled,-9717.76,-0.0192166642217984450638110606,-0.0236174270206835851547601584,0.0044007627988851400909490978,-0.0236174270206835851547601584,-0.0075622859743172748926022464,   0 
2015-03-27T17:00:00Z,AMZN,371.59,26,Market,Filled,9661.34,0,0,0,0,0,1 
2015-03-27T17:00:00Z,CPRT,9.2725,1075,Market,Filled,9967.9375,0,0,0,0,0,1 
2015-03-27T18:00:00Z,MELI,120.96298721,82,Market,Filled,9918.96495122,0,0,0,0,0,1 
2015-03-27T20:00:00Z,GRUB,45.55,220,Market On Open,Filled,10021,0,0,0,0,0,1 
2015-03-30T14:00:00Z,BABA,84.56,117,Market,Filled,9893.52,0,0,0,0,0,1 
2015-03-30T14:00:00Z,EXPE,89.490557715,111,Market,Filled,9933.451906365,0,0,0,0,0,1 
2015-03-30T14:00:00Z,JD,29.84,-332,Market,Filled,-9906.88,0.0056685561853951317105701901,-0.0050016672224074691563854618,0.0106702234078026008669556519,-0.0050016672224074691563854618,-0.0038273953077676845245620064, 0.3 
